S1      Pred : IGHV3-30*04         IGHD5-12*01         IGHJ1*01            
        Res  : IGHV3-30-3*01       IGHD5-12*01         IGHJ1*01            

S2      Pred : IGHV1/OR21-1*01     IGHD5-5*01          IGHJ1*01            
        Res  : IGHV1/OR21-1*01     IGHD5-18*01         IGHJ1*01            

S3      Pred : IGHV3-30-3*01       IGHD3/OR15-3a*01    IGHJ2*01            
        Res  : IGHV3-30-3*01       IGHD4/OR15-4a*01    IGHJ2*01            

S4      Pred : IGHV4-4*07          IGHD4-11*01         IGHJ3*01            
        Res  : IGHV4-4*07          IGHD4-11*01         IGHJ3*01            

S5      Pred : IGHV3-43*02         IGHD3-9*01          IGHJ2*01            
        Res  : IGHV3-43*02         IGHD3-9*01          IGHJ2*01            

S6      Pred : IGHV3-38*03         IGHD3-22*01         IGHJ1*01            
        Res  : IGHV3-38*03         IGHD3-22*01         IGHJ1*01            

S7      Pred : IGHV2-5*08          IGHD3-16*02         IGHJ5*02            
        Res  : IGHV2-5*08          IGHD3-16*02         IGHJ5*02            

S8      Pred : IGHV4-38-2*02       IGHD2-15*01         IGHJ2*01            
        Res  : IGHV4-38-2*02       IGHD5-12*01         IGHJ2*01            

S9      Pred : IGHV4-38-2*02       IGHD3-16*02         IGHJ5*01            
        Res  : IGHV4-38-2*02       IGHD3-16*02         IGHJ5*01            

S10     Pred : IGHV7-4-1*03        IGHD3-10*02         IGHJ3*01            
        Res  : IGHV7-4-1*04        IGHD6-6*01          IGHJ3*01            

S11     Pred : IGHV1-58*01         IGHD2-15*01         IGHJ3*01            
        Res  : IGHV1-58*01         IGHD2-15*01         IGHJ3*01            

S12     Pred : IGHV3/OR16-8*01     No genes            IGHJ3*02            
        Res  : IGHV3/OR16-8*01     IGHD1-20*01         IGHJ3*02            

S13     Pred : IGHV3/OR16-13*01    IGHD3/OR15-3a*01    IGHJ4*03            
        Res  : IGHV3/OR16-13*01    IGHD3/OR15-3a*01    IGHJ4*03            

S14     Pred : IGHV3-53*01         IGHD1-20*01         IGHJ5*01            
        Res  : IGHV3-53*02         IGHD1/OR15-1a*01    IGHJ5*01            

S15     Pred : IGHV1/OR15-5*02     No genes            IGHJ5*01            
        Res  : IGHV1/OR15-5*02     IGHD6-13*01         IGHJ5*01            

S16     Pred : IGHV3-30*09         IGHD2/OR15-2a*01    IGHJ6*04            
        Res  : IGHV3-30-3*03       IGHD2/OR15-2a*01    IGHJ6*04            

S17     Pred : IGHV3-21*01         No genes            IGHJ2*01            
        Res  : IGHV3-21*03         IGHD4/OR15-4a*01    IGHJ2*01            

S18     Pred : IGHV3/OR16-13*01    IGHD3-16*02         IGHJ2*01            
        Res  : IGHV3/OR16-13*01    IGHD3-16*01         IGHJ2*01            

S19     Pred : IGHV3-49*05         IGHD4-4*01          IGHJ2*01            
        Res  : IGHV3-49*05         IGHD4-11*01         IGHJ2*01            

S20     Pred : IGHV2/OR16-5*01     IGHD5-5*01          IGHJ6*04            
        Res  : IGHV2/OR16-5*01     IGHD5-18*01         IGHJ6*04            

S21     Pred : IGHV3-11*03         IGHD2-21*01         IGHJ6*04            
        Res  : IGHV3-11*03         IGHD1-14*01         IGHJ6*04            

S22     Pred : IGHV6-1*01          IGHD1-1*01          IGHJ5*01            
        Res  : IGHV6-1*01          IGHD1-1*01          IGHJ5*01            

S23     Pred : IGHV3-15*07         IGHD2-8*02          IGHJ4*03            
        Res  : IGHV3-15*07         IGHD2-8*02          IGHJ4*03            

S24     Pred : IGHV3/OR16-10*01    IGHD6-6*01          IGHJ1*01            
